datetime,ELCE
2014-01-01 01:00:00,91.332
2014-01-01 02:00:00,84.62
2014-01-01 03:00:00,76.261
2014-01-01 04:00:00,70.406
2014-01-01 05:00:00,66.801
2014-01-01 06:00:00,67.189
2014-01-01 07:00:00,70.675
2014-01-01 08:00:00,76.242
2014-01-01 09:00:00,84.601
2014-01-01 10:00:00,96.128
2014-01-01 11:00:00,108.11
2014-01-01 12:00:00,116.778
2014-01-01 13:00:00,115.362
2014-01-01 14:00:00,107.935
2014-01-01 15:00:00,102.396
2014-01-01 16:00:00,99.15
2014-01-01 17:00:00,108.082
2014-01-01 18:00:00,126.462
2014-01-01 19:00:00,130.216
2014-01-01 20:00:00,131.892
2014-01-01 21:00:00,125.744
2014-01-01 22:00:00,110.736
2014-01-01 23:00:00,96.112
2014-01-02 00:00:00,80.074
2014-01-02 01:00:00,69.223
2014-01-02 02:00:00,63.012
2014-01-02 03:00:00,60.405
2014-01-02 04:00:00,59.92
2014-01-02 05:00:00,62.227
2014-01-02 06:00:00,71.372
2014-01-02 07:00:00,86.026
2014-01-02 08:00:00,97.672
2014-01-02 09:00:00,102.405
2014-01-02 10:00:00,105.455
2014-01-02 11:00:00,105.908
2014-01-02 12:00:00,106.842
2014-01-02 13:00:00,107.57
2014-01-02 14:00:00,105.296
2014-01-02 15:00:00,102.312
2014-01-02 16:00:00,104.11
2014-01-02 17:00:00,118.371
2014-01-02 18:00:00,132.407
2014-01-02 19:00:00,133.016
2014-01-02 20:00:00,132.389
2014-01-02 21:00:00,125.004
2014-01-02 22:00:00,111.391
2014-01-02 23:00:00,99.227
2014-01-03 00:00:00,81.817
2014-01-03 01:00:00,68.7
2014-01-03 02:00:00,61.445
2014-01-03 03:00:00,58.219
2014-01-03 04:00:00,57.384
2014-01-03 05:00:00,59.298
2014-01-03 06:00:00,68.476
2014-01-03 07:00:00,84.347
2014-01-03 08:00:00,97.676
2014-01-03 09:00:00,100.732
2014-01-03 10:00:00,103.021
2014-01-03 11:00:00,103.01
2014-01-03 12:00:00,105.026
2014-01-03 13:00:00,106.36
2014-01-03 14:00:00,103.796
2014-01-03 15:00:00,100.784
2014-01-03 16:00:00,101.226
2014-01-03 17:00:00,113.56
2014-01-03 18:00:00,131.243
2014-01-03 19:00:00,130.794
2014-01-03 20:00:00,128.314
2014-01-03 21:00:00,119.878
2014-01-03 22:00:00,108.9
2014-01-03 23:00:00,99.28
2014-01-04 00:00:00,84.11
2014-01-04 01:00:00,70.725
2014-01-04 02:00:00,62.708
2014-01-04 03:00:00,58.409
2014-01-04 04:00:00,56.676
2014-01-04 05:00:00,58.054
2014-01-04 06:00:00,62.808
2014-01-04 07:00:00,74.114
